PTT_ID,Latitude,Longitude,Stopover_sites,Country
25320,47.596,92.3378,S Har Us Lake,Mongolia
25320,47.276,92.543,SE Manhan,Mongolia
25320,47.096,92.853,SE Manhan,Mongolia
25320,46.667,93.161,W Satay Uul,Mongolia
25320,45.544,93.733,S Bij Altay,Mongolia
25320,44.402,93.59,NE Santanghu,China
25323,47.921,91.441,Buyant Gol,Mongolia
25323,44.527,85.848,Laoshanwan,China
25323,43.632,82.548,K?™a-la-pu-la-ch?™u,China
25323,43.584,80.987,N Tu-la-ta,China
25323,42.708,80.019,Tekes River W,China-Kazakhstan
25323,42.439,78.078,Issyk-kul??Lake,Kazakhstan
25323,42.183,75.447,E Issyk-kul??Lake,Kazakhstan
25323,40.358,71.646,W Fergana,Kazakhstan
25335,49.009,115.176,E Gurvanzdagal,Mongolia
25335,47.068,113.428,NE Baruun Urt,Mongolia
25335,46.422,112.79,SW Baruun Urt,Mongolia
25335,44.65,111.653,NE Erdene,China
25335,43.584,109.368,SW Hovsg,Mongolia
25335,42.96,107.398,E Bayan Oroo,Mongolia
25313,43.374,74.021,Kokkaymar,Pakistan
25313,39.334,71.792,E Karashura,Pakistan
25313,32.99,69.583,W Miram Shah,Pakistan
25313,32.292,69.04,Ruins,Afghanistan
25313,30.366,69.99,Khart,Afghanistan
25313,27.52,71.184,Reservoirs,India
25313,26.371,71.886,Rateu,India
25313,25.66,72.58,E Mokalsar,India
25313,24.177,71.469,Tharad,India
25313,22.626,70.551,Dahinsara,India
25315,48.834,114.681,S Gurvandzagal,Mongolia
25315,41.95,113.747,E Hua-te,China
25315,41.682,111.506,Wu-lan-hua,China
25315,40.218,110.122,S Baotoa,China
25315,37.16,100.015,Chinghai Lake,China
25315,36.669,99.264,Caka Yan Lake,China
25315,36.358,97.94,N Xiangride,China
25315,36.131,97.164,Zongjiafangzi,China
25316,49.595,115.113,NE Gurvandzagal,Mongolia
25316,48.94,115.057,SE Gurvandzagal,Mongolia
25316,48.045,114.172,W Choybalsan,Mongolia
25316,43.969,114.133,S Lin-po-nit,China
25316,42.091,114.076,N Hua-te,China
25316,41.091,113.399,E Chi-ning,China
25317,47.113,91.504,N Monn Hayrham Uul,Mongolia
25317,45.266,91.512,Baytag Bogd Uul,Mongolia
25317,43.666,92.958,Barkol Lake,China
